ticker,score_total,qualidade,valuation,dividendos,crescimento,seguranca,peso_pct,classificacao,motivos,pontos_fortes,pontos_fracos
USIM5,51.3,,,,,,2.0,,ROE abaixo da média (-0.09 vs ref 0.12); Margem Líquida abaixo da média (-0.10 vs ref 0.08); P/VP abaixo da média (0.55 vs ref 1.50); Endividamento abaixo da média (0.29 vs ref 1.00); Liquidez Corrente acima da média (4.54 vs ref 1.50),P/VP abaixo da média (0.55 vs ref 1.50); Endividamento abaixo da média (0.29 vs ref 1.00); Liquidez Corrente acima da média (4.54 vs ref 1.50),ROE abaixo da média (-0.09 vs ref 0.12); Margem Líquida abaixo da média (-0.10 vs ref 0.08)
SAUD3,49.5,,,,,,2.0,,ROE acima da média (0.40 vs ref 0.12); Margem Líquida acima da média (0.22 vs ref 0.08); P/L na média (13.12); P/VP acima da média (5.19 vs ref 1.50); Dividend Yield acima da média (0.07 vs ref 0.04); Crescimento Lucro abaixo da média (-0.14 vs ref 0.05); Endividamento acima da média (1.41 vs ref 1.00); Liquidez Corrente abaixo da média (1.16 vs ref 1.50),ROE acima da média (0.40 vs ref 0.12); Margem Líquida acima da média (0.22 vs ref 0.08); P/L na média (13.12); Dividend Yield acima da média (0.07 vs ref 0.04),P/VP acima da média (5.19 vs ref 1.50); Crescimento Lucro abaixo da média (-0.14 vs ref 0.05); Endividamento acima da média (1.41 vs ref 1.00); Liquidez Corrente abaixo da média (1.16 vs ref 1.50)
ITUB4,49.4,,,,,,2.0,,ROE acima da média (0.22 vs ref 0.12); Margem Líquida acima da média (0.33 vs ref 0.08); P/L abaixo da média (9.94 vs ref 15.00); P/VP acima da média (2.15 vs ref 1.50); Dividend Yield abaixo da média (0.02 vs ref 0.04); Crescimento Lucro abaixo da média (-0.13 vs ref 0.05),ROE acima da média (0.22 vs ref 0.12); Margem Líquida acima da média (0.33 vs ref 0.08); P/L abaixo da média (9.94 vs ref 15.00),P/VP acima da média (2.15 vs ref 1.50); Dividend Yield abaixo da média (0.02 vs ref 0.04); Crescimento Lucro abaixo da média (-0.13 vs ref 0.05)
GOAU4,49.2,,,,,,2.0,,ROE abaixo da média (0.03 vs ref 0.12); Margem Líquida abaixo da média (0.01 vs ref 0.08); P/L acima da média (25.84 vs ref 15.00); P/VP abaixo da média (0.67 vs ref 1.50); Dividend Yield na média (0.03); Endividamento abaixo da média (0.29 vs ref 1.00); Liquidez Corrente acima da média (2.76 vs ref 1.50),P/VP abaixo da média (0.67 vs ref 1.50); Endividamento abaixo da média (0.29 vs ref 1.00); Liquidez Corrente acima da média (2.76 vs ref 1.50),ROE abaixo da média (0.03 vs ref 0.12); Margem Líquida abaixo da média (0.01 vs ref 0.08); P/L acima da média (25.84 vs ref 15.00); Dividend Yield na média (0.03)
VBBR3,49.1,,,,,,2.0,,ROE na média (0.14); Margem Líquida abaixo da média (0.02 vs ref 0.08); P/L abaixo da média (11.44 vs ref 15.00); P/VP na média (1.61); Dividend Yield acima da média (0.05 vs ref 0.04); Crescimento Lucro abaixo da média (-0.08 vs ref 0.05); Endividamento na média (1.10); Liquidez Corrente na média (1.77),ROE na média (0.14); P/L abaixo da média (11.44 vs ref 15.00); Dividend Yield acima da média (0.05 vs ref 0.04); Liquidez Corrente na média (1.77),Margem Líquida abaixo da média (0.02 vs ref 0.08); P/VP na média (1.61); Crescimento Lucro abaixo da média (-0.08 vs ref 0.05); Endividamento na média (1.10)
MOTV3,49.0,,,,,,2.0,,ROE acima da média (0.20 vs ref 0.12); Margem Líquida acima da média (0.17 vs ref 0.08); P/L abaixo da média (9.47 vs ref 15.00); P/VP na média (1.71); Dividend Yield abaixo da média (0.01 vs ref 0.04); Endividamento acima da média (2.44 vs ref 1.00); Liquidez Corrente na média (1.64),ROE acima da média (0.20 vs ref 0.12); Margem Líquida acima da média (0.17 vs ref 0.08); P/L abaixo da média (9.47 vs ref 15.00); Liquidez Corrente na média (1.64),P/VP na média (1.71); Dividend Yield abaixo da média (0.01 vs ref 0.04); Endividamento acima da média (2.44 vs ref 1.00)
AMBP3,48.0,,,,,,2.0,,ROE abaixo da média (-0.01 vs ref 0.12); Margem Líquida abaixo da média (-0.01 vs ref 0.08); P/VP abaixo da média (0.27 vs ref 1.50); Endividamento acima da média (5.56 vs ref 1.00); Liquidez Corrente acima da média (2.72 vs ref 1.50),P/VP abaixo da média (0.27 vs ref 1.50); Liquidez Corrente acima da média (2.72 vs ref 1.50),ROE abaixo da média (-0.01 vs ref 0.12); Margem Líquida abaixo da média (-0.01 vs ref 0.08); Endividamento acima da média (5.56 vs ref 1.00)
AXIA3,47.7,,,,,,2.0,,ROE abaixo da média (0.08 vs ref 0.12); Margem Líquida acima da média (0.22 vs ref 0.08); P/L na média (12.01); P/VP na média (1.24); Dividend Yield acima da média (0.07 vs ref 0.04); Crescimento Lucro abaixo da média (-0.18 vs ref 0.05); Endividamento abaixo da média (0.65 vs ref 1.00); Liquidez Corrente acima da média (2.11 vs ref 1.50),Margem Líquida acima da média (0.22 vs ref 0.08); P/L na média (12.01); P/VP na média (1.24); Dividend Yield acima da média (0.07 vs ref 0.04); Endividamento abaixo da média (0.65 vs ref 1.00),ROE abaixo da média (0.08 vs ref 0.12); Crescimento Lucro abaixo da média (-0.18 vs ref 0.05)
NATU3,47.7,,,,,,2.0,,ROE abaixo da média (-0.00 vs ref 0.12); Margem Líquida abaixo da média (-0.11 vs ref 0.08); P/VP abaixo da média (0.85 vs ref 1.50); Endividamento abaixo da média (0.55 vs ref 1.00); Liquidez Corrente na média (1.65),P/VP abaixo da média (0.85 vs ref 1.50); Endividamento abaixo da média (0.55 vs ref 1.00); Liquidez Corrente na média (1.65),ROE abaixo da média (-0.00 vs ref 0.12); Margem Líquida abaixo da média (-0.11 vs ref 0.08)
TIMS3,47.6,,,,,,2.0,,ROE acima da média (0.18 vs ref 0.12); Margem Líquida acima da média (0.16 vs ref 0.08); P/L na média (12.37); P/VP acima da média (2.17 vs ref 1.50); Dividend Yield acima da média (0.07 vs ref 0.04); Crescimento Lucro abaixo da média (-0.27 vs ref 0.05); Endividamento abaixo da média (0.69 vs ref 1.00); Liquidez Corrente abaixo da média (0.92 vs ref 1.50),ROE acima da média (0.18 vs ref 0.12); Margem Líquida acima da média (0.16 vs ref 0.08); P/L na média (12.37); Dividend Yield acima da média (0.07 vs ref 0.04); Endividamento abaixo da média (0.69 vs ref 1.00),P/VP acima da média (2.17 vs ref 1.50); Crescimento Lucro abaixo da média (-0.27 vs ref 0.05); Liquidez Corrente abaixo da média (0.92 vs ref 1.50)
